corese_name,teacher_name,intended_for,course_info,requirments,category,allow_valenteres,valentieres_age,max_valetires,additional_info
אקטואליה וסיפורים אחרים,נמרוד בן נוח,ילדי ילדות ג-ד,"בשיעור נלמד על אירועים חשובים שקורים לנו, בני האדם, וגם אירועים הקשורים בטבע ובעולם שלנו. 
בקורס גם נכיר צורות שונות של עיתונות. 
נלמד להבדיל בין חדשות ""אמיתיות"" ובין חדשות שקריות 
וננסה להבין איך ניתן להיזהר מחדשות שקריות.","הקורס מיועד לילדות וילדים סקרניות וסקרנים 
אשר מעוניינים ללמוד ולהבין טוב יותר את האירועים החדשותיים בארץ ובעולם. 
דרישות: תבואו ככה, כמו שאתם, הכל טוב.",רוח וחברה,FALSE,,,
מרכז גינה (אין חובת נוכחות),נמרוד בן נוח,"לכל מי שאוהב לעבוד בגינה 
גן - י""ב","נעבוד ונגדל ירקות ופירות בגינת הירק. נעקור עשבים, נזבל ונקלטר את האדמה, נכין ערוגות, נמתח טפטפות, נזרע, נשתול ונשריש צמחים.
 נטפח באהבה, נמתין בסבלנות, נקצור את פירות העבודה הקשה ונתחיל הכל מהתחלה.","נעליים סגורות, ולבוש בהתאם לעונת השנה (כובע, קרם הגנה ומים)",מלאכות חוץ וחצר,FALSE,,,
פינת חי (מרכז - אין חובת נוכחות),אלכס פרידמן,"גן - י""ב","נכיר מקרוב את החיות בפינת החי, נטפל, נאכיל נלטף ופשוט נהייה יחד בסביבה נעימה ורגועה.  ",להגיע עם נעליים ובלבוש בהתאם למזג האויר,מלאכות חוץ וחצר,TRUE,ג ומעלה,2,עדיפות לילדי ועדת פינת חי
חיות פרא (שעתיים רצופות),אלכס פרידמן,ג-ו,"נלמד לעומק מי הן חיות הפרא, נכיר את עולמן והסביבה הטבעית שלהן. 
נשאל את עצמינו איך אנחנו הבני אדם משפעים עליהן ואיך חיות הפרא משפיעות עלינו, 
ועוד שאלות רבות על היחסים בין האדם לחיה. 
נקרא סיפורים על חיות ונגלה יחד עד כמה החיות הן חלק מהתרבות שלנו. 
את הכל נעשה עם הרבה דמיון ומשחקים.","סקרנות, קלמר מלא בצבעים, מספריים ודבק, מחברת",מדעים,FALSE,,,
אנגלית ג' - 3 שעות שבועיות,נגה ויגודה ושרון הנסב,ילדי וילדות ג',קורס מובנה בעיקר לתלמידי ג' - תלמידים שזוהי ההיכרות הראשונית שלהם עם הקריאה והכתיבה. בקורס נכיר את עולם הצלילים של השפה האנגלית. נלמד את כללי הקריאה והכתיבה. נחבר צלילים וניצור מילים. בנוסף נלמד ונתרגל דיבור ברמה בסיסית ונלמד אוצר מילים חדש.  נעבוד בחוברת עבודה תואמת רמה. נצפה בהרבה סרטונים ושירים ובכך נעשיר את השפה בצורה חווייתית.,"עמידה בכללי השיעור כפי שהוגדרו על ידי המורה בשיעורים הראשונים.
התלמידים יקבלו חוברת עבודה מבית הספר.
הציוד הנדרש:
תיקייה המכילה את חוברת העבודה ומחברת.
2-3 מחברות חכמות חובה (לא תתאפשר עבודה בכל מחברת אחרת)
קלמר מצויד ב: 
צבעי עיפרון, 3 עפרונות מחודדים, מחדד עם מיכל
מחק, מספריים, דבק סטיק קטן.
ייתכנו בקשות נוספות במהלך השנה

",אנגלית,FALSE,,,
אנגלית ד' - 3 שעות שבועיות,נגה ויגודה ושרון הנסב,ילדי וילדות ד',"הקורס מיועד למסיימי קורס אנגלית ג' ולילדים אשר מזהים את האותיות והצלילים וקוראים מילים קצרות. אחרי שלמדנו לכתוב ולקרוא נצא למסע בעולם האנגלית: נדבר, נכתוב, נקרא סיפורים ונשחק באנגלית. נלמד על הסביבה שלנו, על המשפחה ונצא להכיר את השכונה. שימו לב - כדי להגיע לרמה אחידה ככל האפשר, במהלך החודש הראשון נחזור בקצרה על הבסיס, נשנן היטב את אבני הבניין של השפה ונחזור על האותיות, הצלילים ועל כללי הקריאה והכתיבה שלמדנו בכיתה ג'. נמשיך להעשיר את אוצר המילים ואת הבנת הנקרא. בתחילת השנה נקיים מבדק לכל ההילדים בכיתה כדי לוודא שכולם ברמה המתאימה לקורס.","עמידה בכללי השיעור כפי שהוגדרו על ידי המורה בשיעורים הראשונים.
התלמידים יקבלו חוברת עבודה מבית הספר.
הציוד הנדרש:
תיקייה המכילה את חוברת העבודה ומחברת.
2-3 מחברות חכמות חובה (לא תתאפשר עבודה בכל מחברת אחרת)
קלמר מצויד ב: 
צבעי עיפרון
3 עפרונות מחודדים
מחדד עם מיכל
מחק
מספריים
דבק סטיק קטן
יתכנו בקשות נוספות במהלך השנה

",אנגלית,FALSE,,,
ממשפחה לעם - שעתיים שבועיות,נגבה שור,ילדי וילדות ג',"נעסוק בספר שמות: תקופת העבדות, סיפורי משה ויציאת מצריים- הסיבות, התוצאות ותחילת המסע לארץ המובטחת. 
נחקור, נרצה, ניצור ונשחק. ","השתתפות פעילה ורציפה לאורך השנה. 
להגיע עם: מחברת 14 שורות וקלמר מאובזר.",מקרא,FALSE,,,
במבחן האמונה - שעתיים שבועיות,נגבה שור,ילדי וילדות ד',"נעסוק בנושאים מהספרים: ויקרא, במדבר ודברים: בתהליך הגיבוש והזהות של עם ישראל, 
ב""זיג זג"" באמונה - הסיבות והתוצאות, מהנדודים במדבר ועד הכניסה לארץ.
 נחקור, נרצה, ניצור ונחנוך את ילדי הגן.","השתתפות פעילה ורציפה לאורך השנה. 
להגיע עם: מחברת, קלמר מאובזר, תנ""ך מלא! ",מקרא,FALSE,,,
"סטודיו לאמנות, יסודי",ענת בדר,ג'-ו',"נעבוד בסדנה כמו אמנים ואמניות בסטודיו. 
כל חומרי האמנות פתוחים ומזמינים אותנו ליצור, להתנסות, להמציא, לחקור ולגלות. 
נשוחח על אמנות ונחפש מקורות השראה. 
נתנסה באתגרי יצירה. נציג תערוכות.","נכונות ליצור ולהתנסות בעבודה עם חומרים שונים. 
הקפדה ושמירה על הרגלי עבודה וכללי הסדנה
ניתן להגיע לשעתיים או לשעה הראשונה בלבד.",אומנות,FALSE,,,
"כיף כפליים
(3 שעות שבועיות)",עדי בדר,ילדי וילדות  ג',"בקורס נלמד אסטרטגיות, שיטות ואפילו טריקים שיהפכו את כל לימוד הכפל והחילוק, לחוויתי ו.. כיף כפליים!
 נגלה ביחד מהם החוקים של בית המספרים? איפה בחיי היום יום פוגשים מספרים גדולים? 
ואיך מבצעים פעולות חיבור וחיסור במספרים גדולים?","דרישות מקדימות: 
קריאה, כתיבה ושליטה בנושאים חשבוניים שנלמדו בקורס ""מרכז למידה א-ב"", 
כולל הכרת המספרים והמבנה העשרוני בתחום האלף, משמעות הכפל, 
ידיעת כפולות בסיסיות (2, 5, 10) וחיבור עד 100 כולל המרה. 

 ציוד: קלמר מלא, מחברת משבצות קטנה או גדולה 
(אפשר מחברת אחת לכל קורסי החשבון), 
תיקייה לשמירת דפים (אפשר תיקייה אחת לכל הקורסים). 
השתתפות הכרחית ב-3 שעות שבועיות.",מתמטיקה,TRUE,ד' ומעלה,2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
