corese_name,teacher_name,intended_for,course_info,requirments,category,allow_valenteres,valentieres_age,max_valetires,additional_info
מרכז גינה (אין חובת נוכחות),נמרוד בן נוח,"לכל מי שאוהב לעבוד בגינה גן - י""ב","נעבוד ונגדל ירקות ופירות בגינת הירק. נעקור עשבים, נזבל ונקלטר את האדמה, נכין ערוגות, נמתח טפטפות, נזרע, נשתול ונשריש צמחים, נטפח באהבה, נמתין בסבלנות, נקצור את פירות העבודה הקשה ונתחיל הכל מהתחלה.","נעליים סגורות, ולבוש בהתאם לעונת השנה (כובע, קרם הגנה ומים)",מלאכות חוץ וחצר,FALSE,,,
הספר שלי,נמרוד בן נוח,השיעור מיועד לילדים וילדות אשר אוהבות לשמוע סיפורים.,"נקרא יחד סיפורים מופלאים, נצלול לעולם דמיוני עשיר ומלא תובנות. אם נצליח, אז גם נלמד משהו חדש על עצמנו ועל האנושות.","בשיעור נדרשים לחשיבה, שאילת שאלות, בחינת רגשות ושיתוף פעולה. מיועד לילדים אשר מסוגלים לשבת או לעמוד בשקט ולהקשיב לסיפור במהלך 45 דקות",ספרות,FALSE,,,
אקטואליה,נמרוד בן נוח,הקורס מיועד לילדות וילדים סקרניות וסקרנים אשר מעוניינים ללמוד ולהבין טוב יותר את האירועים החדשותיים בארץ ובעולם.,"בשיעור נלמד על אירועים חשובים שקורים לנו, בני האדם וגם אירועים הקשורים בטבע ובעולם שלנו. בקורס גם נכיר צורות שונות של עיתונות. נלמד להבדיל בין חדשות ""אמיתיות"" ובין חדשות שקריות וננסה להבין איך ניתן להיזער מחדשות שקריות.","תבואו ככה, כמו שאתם, הכל טוב.",רוח וחברה,FALSE,,,
פינת חי (מרכז - אין חובת נוכחות),אלכס פרידמן,"גן - י""ב","נכיר מקרוב את החיות בפינת החי, נטפל, נאכיל נלטף ופשוט נהייה יחד בסביבה נעימה ורגועה.  ",להגיע עם נעליים ובלבוש בהתאם למזג האויר,מלאכות חוץ וחצר,TRUE,ג ומעלה,2,עדיפות לילדי ועדת פינת חי
חיות פרא (שעתיים רצופות),אלכס פרידמן,ג-ו,"נלמד לעומק מי הן חיות הפרא, נכיר את עולמן והסביבה הטבעית שלהן. נשאל את עצמינו איך אנחנו הבני אדם משפעים עליהן ואיך חיות הפרא משפיעות עלינו, ועוד שאלות רבות על היחסים בין האדם לחיה. נקרא סיפורים על חיות ונגלה יחד עד כמה החיות חלק מהתרבות שלנו. את הכל נעשה עם הרבה דמיון ומשחקים.","סקרנות, קלמר מלא בצבעים, מספריים ודבק, מחברת",מדעים,FALSE,,,
אנגלית ה',נגה ויגודה ושרון הנסב,תלמידי ה',"הקורס מיועד למסיימי קורס אנגלית ד'. אחרי שלמדנו לכתוב ולקרוא נצא למסע בעולם האנגלית: נדבר, נכתוב, נקרא סיפורים ונשחק באנגלית. נלמד על הסביבה שלנו , על המשפחה, ונצא להכיר את השכונה . שימו לב- כדי להגיע לרמה אחידה ככל האפשר, במהלך החודש הראשון נחזור בקצרה על הבסיס, על החומר הנלמד ונחזור על האותיות, הצלילים ועל כללי הקריאה והכתיבה שלמדנו בכיתה ד'. קורס זה שם דגש על נושא הקריאה והכתיבה, העשרת אוצר המילים ויכולת הדיבור. בתחילת השנה נקיים מבדק כדי לווודא שכל הילדים בכיתה נמצאים ברמה המתאימה לקורס.","שליטה בנושאים הנלמדו בשנה הקודמת ""עמידה בכללי השיעור כפי שהוגדרו על ידי המורה בשיעורים הראשונים.
התלמידים יקבלו ספר וחוברת עבודה מבית הספר.
הציוד הנדרש:
תיקייה המכילה את חוברת העבודה ומחברת.
מחברת שורות גדולה
קלמר מצויד ב: 
צבעי עיפרון, 3 עפרונות מחודדים, מחדד עם מיכל
מחק, מספריים, דבק סטיק קטן.
ייתכנו בקשות נוספות במהלך השנה

""",אנגלית,FALSE,,,
אנגלית ו',סטיב לוין ואנדי פרידמן,תלמידי ו',"קורס זה שם דגש על נושא הקריאה והכתיבה, העשרת אוצר המילים ויכולת הדיבור. בקורס נשפר את יכולת השיח ונרכוש ביטחון בדיבור באמצעות משחקי תפקידים ומשימות נוספות. כמו כן נרכוש אסטרטגיות למידה שיסייעו בקריאת טקסטים, דקדוק ויצירת מבנה משפט תקין.",שליטה בנושאים הנלמדו בשנה הקודמת,אנגלית,FALSE,,,
מנהיגות במבחן - שעתיים שבועיות,נגבה שור,ה' -ו',"נעסוק בספרים: יהושע, שופטים ומגילת רות. נובנושאים: מהי מנהיגות? תכונות מנהיג, אחריות, בחירה וחסד. נכיר את הדמויות ופועלם, הקשיים והתמורות. נשלב מקרא, אקטואליה והקשרים שונים הקשורים לחומר הנלמד, דרך חקר, משחק, הכנת מצגות שיתופיות ועוד.","השתתפות רציפה לאורך השנה. להגיע עם: מחברת, קלמר מאובזר ותנ""ך מלא!",מקרא,FALSE,,,
"סטודיו לאמנות, יסודי",ענת בדר,ג'-ו',"נעבוד בסדנה כמו אמנים ואמניות בסטודיו. כל חומרי האמנות פתוחים ומזמינים אותנו ליצור, להתנסות, להמציא, לחקור ולגלות. נשוחח על אמנות ונחפש מקורות השראה. נתנסה באתגרי יצירה. נציג תערוכות.",נכונות ליצור ולהתנסות בעבודה עם חומרים שונים. הקפדה ושמירה על הרגלי עבודה וכללי הסדנה,אומנות,FALSE,,,
צורות הפלא 2,יפעת שורר,ה-ו,"הצטרפו לשלב הבא של המסע, בו נחקור ונגלה את נפלאות עולם הצורות התלת ממדיות! בקורס נפעל באמצעים אמנותיים ובדרכים יצירתיות ומגוונות: נבנה מבנים וגופים הנדסיים, נרכיב, נסרטט, נצלם ועוד... נפתח את הראייה החזותית במישור ובמרחב ונכיר מושגים מתקדמים בגאומטריה.","דרישות מקדימות: הכרות עם מושגי יסוד בגאומטריה. 
ציוד: קלמר מלא בכל טוב, כולל סרגל, מספריים, דבק סטיק וצבעים, מחברת משבצות גדולה (אפשר מחברת אחת לכל קורסי החשבון).",מתמטיקה,TRUE,ו' ומעלה,2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
